16	3.10575e-06	6.86629e-06	3.36051e-06	4.82136e-06
196	0.000227866	0.000395278	0.00021942	0.000228918
576	0.00033942	0.00227597	0.000413066	0.000412866
1156	0.00222229	0.00844618	0.00203462	0.00206853
1936	0.00329821	0.0207134	0.00350916	0.00337359
2916	0.0118281	0.0542599	0.0114441	0.0114023
2916	0.0149277	0.0496769	0.0125144	0.0154697
5476	0.0360392	0.172586	0.0321215	0.0310202
7056	0.0553621	0.290359	0.0462468	0.0466512
8836	0.0841265	0.364722	0.0710636	0.069922
10816	0.135984	0.722154	0.104694	0.112646
